Title,Category,Release date,Ratings,Metascore,Page URL
The Girl in the Photographs,movie,"APR 1, 2016",R,32,https://www.metacritic.com/movie/the-girl-in-the-photographs/
Ride Along 2,movie,"JAN 15, 2016",PG-13,32,https://www.metacritic.com/movie/ride-along-2/
Backseat,movie,"MAR 28, 2008",Not Rated,32,https://www.metacritic.com/movie/backseat/
Chapter 27,movie,"MAR 28, 2008",R,32,https://www.metacritic.com/movie/chapter-27/
 Land of the Blind,movie,"JUN 16, 2006",R,32,https://www.metacritic.com/movie/land-of-the-blind/
Redeeming Love,movie,"JAN 21, 2022",PG-13,32,https://www.metacritic.com/movie/redeeming-love/
UHF,movie,"JUL 21, 1989",PG-13,32,https://www.metacritic.com/movie/uhf/
Play It to the Bone,movie,"DEC 25, 1999",R,32,https://www.metacritic.com/movie/play-it-to-the-bone/
Down to Earth,movie,"FEB 16, 2001",PG-13,32,https://www.metacritic.com/movie/down-to-earth/
Primal,movie,"NOV 8, 2019",R,32,https://www.metacritic.com/movie/primal/
"I Love You, Beth Cooper",movie,"JUL 10, 2009",PG-13,32,https://www.metacritic.com/movie/i-love-you-beth-cooper/
Dream a Little Dream,movie,"MAR 3, 1989",PG-13,32,https://www.metacritic.com/movie/dream-a-little-dream/
The Hills Have Eyes II,movie,"MAR 23, 2007",Unrated,32,https://www.metacritic.com/movie/the-hills-have-eyes-ii/
Paranoia,movie,"AUG 16, 2013",PG-13,32,https://www.metacritic.com/movie/paranoia/
Scouts Guide to the Zombie Apocalypse,movie,"OCT 30, 2015",R,32,https://www.metacritic.com/movie/scouts-guide-to-the-zombie-apocalypse/
,movie,"JUN 24, 2016",PG-13,32,https://www.metacritic.com/movie/independence-day-resurgence/
G.I. Joe: The Rise of Cobra,movie,"AUG 7, 2009",PG-13,32,https://www.metacritic.com/movie/gi-joe-the-rise-of-cobra/
Masked and Anonymous,movie,"JUL 24, 2003",PG-13,32,https://www.metacritic.com/movie/masked-and-anonymous/
Snipes,movie,"SEP 20, 2002",R,32,https://www.metacritic.com/movie/snipes/
My Big Fat Independent Movie,movie,"SEP 30, 2005",R,32,https://www.metacritic.com/movie/my-big-fat-independent-movie/
Carlos Castaneda: Enigma of a Sorcerer,movie,"JUN 2, 2004",N/A,32,https://www.metacritic.com/movie/carlos-castaneda-enigma-of-a-sorcerer/
The 11th Hour,movie,"JUN 12, 2015",Not Rated,32,https://www.metacritic.com/movie/the-11th-hour-2015/
Least Among Saints,movie,"OCT 12, 2012",R,32,https://www.metacritic.com/movie/least-among-saints/
The Santa Clause 3: The Escape Clause,movie,"NOV 3, 2006",G,32,https://www.metacritic.com/movie/the-santa-clause-3-the-escape-clause/
Teddy Bears' Picnic,movie,"MAR 29, 2002",R,32,https://www.metacritic.com/movie/teddy-bears-picnic/
The Hitcher,movie,"FEB 21, 1986",R,32,https://www.metacritic.com/movie/the-hitcher-1986/
Warcraft,movie,"JUN 10, 2016",PG-13,32,https://www.metacritic.com/movie/warcraft/
Footprints,movie,"APR 15, 2011",Not Rated,32,https://www.metacritic.com/movie/footprints/
 Addicted,movie,"OCT 10, 2014",R,32,https://www.metacritic.com/movie/addicted/
Cats,movie,"DEC 20, 2019",PG,32,https://www.metacritic.com/movie/cats/
Repo! The Genetic Opera,movie,"NOV 7, 2008",R,32,https://www.metacritic.com/movie/repo!-the-genetic-opera/
The Scribbler,movie,"SEP 19, 2014",R,32,https://www.metacritic.com/movie/the-scribbler/
My Name Is Hmmm...,movie,"JAN 28, 2015",N/A,32,https://www.metacritic.com/movie/my-name-is-hmmm/
The Rising Place,movie,"NOV 8, 2002",PG-13,32,https://www.metacritic.com/movie/the-rising-place/
The Last Man,movie,"FEB 15, 2002",R,32,https://www.metacritic.com/movie/the-last-man/
Agent Cody Banks 2: Destination London,movie,"MAR 12, 2004",PG,32,https://www.metacritic.com/movie/agent-cody-banks-2-destination-london/
Beyond Borders,movie,"OCT 24, 2003",R,32,https://www.metacritic.com/movie/beyond-borders/
Careful What You Wish For,movie,"JUN 10, 2016",R,32,https://www.metacritic.com/movie/careful-what-you-wish-for/
Cassadaga,movie,"OCT 11, 2013",R,32,https://www.metacritic.com/movie/cassadaga/
Every Breath You Take,movie,"APR 2, 2021",R,32,https://www.metacritic.com/movie/every-breath-you-take/
Land of the Lost,movie,"JUN 5, 2009",PG-13,32,https://www.metacritic.com/movie/land-of-the-lost/
Beyond Honor,movie,"MAR 17, 2006",R,32,https://www.metacritic.com/movie/beyond-honor/
The Oogieloves in the Big Balloon Adventure,movie,"AUG 29, 2012",G,32,https://www.metacritic.com/movie/the-oogieloves-in-the-big-balloon-adventure/
Girl on a Bicycle,movie,"FEB 14, 2014",R,32,https://www.metacritic.com/movie/girl-on-a-bicycle/
Sinister 2,movie,"AUG 21, 2015",R,32,https://www.metacritic.com/movie/sinister-2/
States of Control,movie,"APR 13, 2001",N/A,32,https://www.metacritic.com/movie/states-of-control/
Swordfish,movie,"JUN 8, 2001",R,32,https://www.metacritic.com/movie/swordfish/
Firestarter,movie,"MAY 13, 2022",R,32,https://www.metacritic.com/movie/firestarter-2022/
Das wilde Leben,movie,"JUL 11, 2008",Unrated,32,https://www.metacritic.com/movie/das-wilde-leben/
Robin Hood,movie,"NOV 21, 2018",PG-13,32,https://www.metacritic.com/movie/robin-hood-2018/
Price of Glory,movie,"MAR 31, 2000",PG-13,32,https://www.metacritic.com/movie/price-of-glory/
Alex & Emma,movie,"JUN 20, 2003",PG-13,32,https://www.metacritic.com/movie/alex-emma/
 Alex & Emma,movie,"JUN 20, 2003",PG-13,32,https://www.metacritic.com/movie/alex-emma/
Wrong Turn,movie,"MAY 30, 2003",R,32,https://www.metacritic.com/movie/wrong-turn/
Godzilla,movie,"MAY 19, 1998",PG-13,32,https://www.metacritic.com/movie/godzilla-1998/
Tom & Jerry,movie,"FEB 26, 2021",PG,32,https://www.metacritic.com/movie/tom-jerry/
"Game Over, Man!",movie,"MAR 23, 2018",TV-MA,32,https://www.metacritic.com/movie/game-over-man!/
King Kong Lives,movie,"DEC 19, 1986",PG-13,32,https://www.metacritic.com/movie/king-kong-lives/
Love Again,movie,"MAY 5, 2023",PG-13,32,https://www.metacritic.com/movie/love-again/
The Unbelievers,movie,"NOV 29, 2013",Not Rated,32,https://www.metacritic.com/movie/the-unbelievers/
The Forger,movie,"APR 24, 2015",R,32,https://www.metacritic.com/movie/the-forger/
The Secret Lives of Dorks,movie,"SEP 27, 2013",PG-13,32,https://www.metacritic.com/movie/the-secret-lives-of-dorks/
The Perfect Holiday,movie,"DEC 12, 2007",PG,32,https://www.metacritic.com/movie/the-perfect-holiday/
Brightest Star,movie,"JAN 31, 2014",TV-14,32,https://www.metacritic.com/movie/brightest-star/
The Middle of the World,movie,"APR 9, 2004",Not Rated,32,https://www.metacritic.com/movie/the-middle-of-the-world/
The Hanoi Hilton,movie,"MAR 27, 1987",R,32,https://www.metacritic.com/movie/the-hanoi-hilton/
Someone Like You...,movie,"MAR 30, 2001",PG-13,32,https://www.metacritic.com/movie/someone-like-you/
Crime and Punishment in Suburbia,movie,"SEP 15, 2000",R,32,https://www.metacritic.com/movie/crime-and-punishment-in-suburbia/
The Transporter Refueled,movie,"SEP 4, 2015",PG-13,32,https://www.metacritic.com/movie/the-transporter-refueled/
Pirates,movie,"JUL 18, 1986",PG-13,32,https://www.metacritic.com/movie/pirates-1986/
Troop Beverly Hills,movie,"MAR 24, 1989",PG,32,https://www.metacritic.com/movie/troop-beverly-hills/
Wish Upon,movie,"JUL 14, 2017",PG-13,32,https://www.metacritic.com/movie/wish-upon/
Broken Bridges,movie,"SEP 8, 2006",PG-13,32,https://www.metacritic.com/movie/broken-bridges/
A Hole in My Heart,movie,"APR 8, 2005",Unrated,32,https://www.metacritic.com/movie/a-hole-in-my-heart/
